"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","energy_sum"
2013-01-16,-0.15,"16","3","winter",0.48,0.91,4.12,"1",13.1475355111535
2013-01-20,-0.46,"16","7","winter",0.85,0.91,5.1,"1",15.0218996733006
2013-01-10,2.36,"16","4","winter",0.7,0.94,5.21,"1",12.0667892249773
2013-01-06,6.98,"16","7","winter",0.67,0.96,5.5,"1",12.4222632910543
2012-01-31,1.13,"16","2","winter",0.55,0.84,5.62,"1",13.8905180736661
2013-01-11,5.7,"16","5","winter",0.52,0.93,5.7,"1",12.1099493560174
2012-01-18,11.92,"16","3","winter",0.76,0.93,6.28,"1",12.7892092528634
2013-01-22,-1.43,"16","2","winter",0.53,0.88,6.31,"1",13.5269712726727
2014-01-21,6.26,"16","2","winter",0.37,0.89,6.36,"1",11.3706013415024
2013-01-18,-2.04,"16","5","winter",0.67,0.85,6.41,"1",14.0458393609122
2014-01-30,5.86,"16","4","winter",0.81,0.91,6.63,"1",11.6851688718349
2012-01-29,2.68,"16","7","winter",0.77,0.89,6.73,"1",14.1275866371841
2014-01-31,5.27,"16","5","winter",0.73,0.91,7.08,"1",11.8579569248765
2013-01-19,-2.56,"16","6","winter",0.84,0.86,7.53,"1",14.7039191198655
2013-01-23,-1.4,"16","3","winter",0.75,0.82,7.69,"1",13.3444426455735
2012-01-24,8.56,"16","2","winter",0.6,0.95,7.92,"1",12.8722519374031
2013-01-21,1.08,"16","1","winter",0.68,0.9,8.14,"1",13.6400919818397
2014-01-12,6.06,"16","7","winter",0.46,0.9,8.27,"1",12.752337201987
2013-01-09,9.13,"16","3","winter",0.52,0.9,8.64,"1",11.3348165006165
2014-01-25,11.77,"16","6","winter",0.44,0.83,8.71,"1",11.6207782169692
2012-01-30,2.42,"16","1","winter",0.55,0.79,9.29,"1",13.4519788343915
2014-01-29,2.53,"16","3","winter",0.93,0.9,9.53,"1",11.8007765057256
2013-01-05,10.66,"16","6","winter",0.72,0.92,9.58,"1",11.7098355089953
2013-01-17,2.88,"16","4","winter",0.31,0.83,9.64,"1",13.2786870223373
2014-01-20,8.44,"16","1","winter",0.17,0.89,9.64,"1",11.4308828747778
2013-01-14,0.94,"16","1","winter",0.59,0.88,9.66,"1",13.1828340586238
2013-01-07,7.31,"16","1","winter",0.84,0.92,9.7,"1",11.6575829856884
2014-01-15,11.19,"16","3","winter",0.77,0.9,9.85,"1",11.1848494391458
2014-01-01,11.34,"16","3","winter",0.642309518585873,0.86,9.95,"1",12.3025863898608
2013-01-12,0.07,"16","6","winter",0.57,0.83,10.03,"1",13.0604536041583
2014-01-22,10.02,"16","3","winter",0.69,0.87,10.2,"1",11.1095600868597
2013-01-26,4.69,"16","6","winter",0.51,0.86,10.27,"1",12.8488882614923
2013-01-24,2.08,"16","4","winter",0.8,0.79,10.32,"1",13.3672035666727
2012-01-25,8.59,"16","3","winter",0.81,0.9,10.38,"1",12.5534952612903
2012-01-14,5.77,"16","6","winter",0.14,0.86,10.54,"1",13.4962984068337
2012-01-17,5.21,"16","2","winter",0.34,0.83,10.61,"1",13.2670712688196
2014-01-06,12.57,"16","1","winter",0.58,0.78,10.67,"1",11.4085163688296
2013-01-25,0.81,"16","5","winter",0.74,0.8,10.8,"1",13.4207022727389
2012-01-03,12.41,"16","2","winter",0.48,0.82,10.8,"1",12.7440454538278
2013-01-29,13.09,"16","2","winter",0.69,0.89,10.88,"1",11.61870890213
2014-01-03,10.49,"16","5","winter",0.4,0.78,10.93,"1",11.4890460694962
2012-01-16,4.18,"16","1","winter",0.23,0.74,10.98,"1",13.0478076073826
2014-01-04,6.66,"16","6","winter",0.61,0.84,11.27,"1",11.9950962923514
2012-01-19,11.51,"16","4","winter",0.56,0.85,11.33,"1",12.2747607724138
2013-01-02,10.82,"16","3","winter",0.61,0.91,11.35,"1",12.0166554789006
2014-01-07,11.38,"16","2","winter",0.59,0.78,11.36,"1",11.2682336777691
2013-01-15,0.89,"16","2","winter",0.58,0.85,11.41,"1",12.9437203566007
2014-01-23,4.93,"16","4","winter",0.32,0.82,11.49,"1",11.3004138756208
2012-01-28,4.04,"16","6","winter",0.57,0.86,11.51,"1",13.3679566806859
2014-01-05,11.96,"16","7","winter",0.44,0.87,11.67,"1",12.6112740641051
2014-01-17,5.71,"16","5","winter",0.47,0.87,11.7,"1",11.1387360642505
2014-01-16,10.72,"16","4","winter",0.58,0.83,11.72,"1",10.9503075430203
2013-01-08,11.23,"16","2","winter",0.76,0.87,11.73,"1",11.239405150671
2014-01-18,7.53,"16","6","winter",0.35,0.83,11.81,"1",11.5465703025207
2012-01-13,4.61,"16","5","winter",0.16,0.83,11.83,"1",12.5227568759174
2013-01-30,12.56,"16","3","winter",0.44,0.77,11.88,"1",11.0800833773348
2013-01-03,11.41,"16","4","winter",0.66,0.91,11.89,"1",11.3992211533019
2013-01-28,10.54,"16","1","winter",0.47,0.84,11.91,"1",12.3470513184713
2014-01-28,6.34,"16","2","winter",0.61,0.83,11.94,"1",11.3448047011651
2014-01-26,5.99,"16","7","winter",0.4,0.79,11.97,"1",12.7296587090945
2014-01-24,5.72,"16","5","winter",0.54,0.83,11.99,"1",11.4098802288674
2014-01-08,11.62,"16","3","winter",0.5,0.85,11.99,"1",11.0061509800784
2013-01-27,10.26,"16","7","winter",0.43,0.77,12.01,"1",12.9283932653685
2014-01-11,5.91,"16","6","winter",0.2,0.81,12.05,"1",11.5389779543701
2014-01-02,10.75,"16","4","winter",0.4,0.82,12.23,"1",11.2233471863752
2012-01-15,2.97,"16","7","winter",0.32,0.78,12.33,"1",14.0372163947608
2012-01-01,12.59,"16","7","winter",0.58,0.9,12.33,"1",12.4662652051095
2013-01-04,10.79,"16","5","winter",0.83,0.85,12.34,"1",11.4170197710684
2012-01-10,11.29,"16","2","winter",0.72,0.87,12.42,"1",11.9761538386946
2014-01-13,6.98,"16","1","winter",0.37,0.83,12.44,"1",11.3645537183196
2013-01-13,-0.09,"16","7","winter",0.6,0.74,12.46,"1",13.66222980501
2012-01-09,12.33,"16","1","winter",0.68,0.84,12.47,"1",12.4490494101176
2014-01-19,7.39,"16","7","winter",0.33,0.8,12.54,"1",10.6354125075163
2012-01-04,4.77,"16","3","winter",0.49,0.78,12.62,"1",12.7411404771429
2014-01-09,12.01,"16","4","winter",0.39,0.77,12.63,"1",11.1195716262102
2014-01-27,4.34,"16","1","winter",0.38,0.79,12.68,"1",11.7538709560971
2012-01-26,6.9,"16","4","winter",0.51,0.8,12.71,"1",12.3720544061914
2013-01-31,6.38,"16","4","winter",0.35,0.74,12.89,"1",11.2815322518586
2012-01-05,11.46,"16","4","winter",0.47,0.7,12.92,"1",12.8480783845606
2012-01-06,6.13,"16","5","winter",0.45,0.78,12.96,"1",12.7196217522459
2012-01-20,10.05,"16","5","winter",0.47,0.78,12.99,"1",12.7830270810417
2012-01-27,6.15,"16","5","winter",0.25,0.78,13,"1",12.4719853474359
2014-01-10,10.14,"16","5","winter",0.4,0.85,13,"1",11.2469911448249
2012-01-23,5.67,"16","1","winter",0.36,0.78,13.04,"1",12.6141237675835
2012-01-11,11.19,"16","3","winter",0.53,0.84,13.05,"1",11.9812074606061
2014-01-14,4.15,"16","2","winter",0.29,0.81,13.08,"1",11.3336020446172
2012-01-12,12.4,"16","4","winter",0.46,0.81,13.12,"1",12.0568248843318
2012-01-08,8.09,"16","7","winter",0.73,0.75,13.13,"1",13.3955697359338
2012-01-22,11.8,"16","7","winter",0.37,0.68,13.15,"1",13.7207991855984
2013-01-01,4.38,"16","2","winter",0.43,0.82,13.15,"1",11.8391743154907
2012-01-02,4.8,"16","1","winter",0.21,0.81,13.23,"1",12.7547445243309
2012-01-21,12.35,"16","6","winter",0.59,0.75,13.36,"1",12.735594320284
2012-01-07,10.34,"16","6","winter",0.6,0.72,13.45,"1",12.7654599122642
2012-02-06,4.08,"16","1","winter",0.79,0.92,3.28,"2",14.0466916030534
2013-02-26,1.8,"17","2","winter",0.86,0.91,3.48,"2",12.573332295915
2012-02-05,1.81,"16","7","winter",0.85,0.96,4.18,"2",15.9402381719243
2013-02-11,-1.66,"17","1","winter",0.87,0.93,4.36,"2",13.0586748727753
2012-02-12,2.73,"17","7","winter",0.59,0.88,4.91,"2",15.8786342871429
2013-02-13,1.23,"17","3","winter",0.68,0.73,6.92,"2",12.7171507564519
2013-02-19,10.12,"17","2","winter",0.11,0.79,6.95,"2",11.3850073113711
2012-02-11,1.93,"17","6","winter",0.04,0.78,6.98,"2",14.8736771495714
2013-02-10,1.58,"17","7","winter",0.84,0.93,7.07,"2",13.5981282156848
2013-02-18,5.22,"17","1","winter",0.33,0.83,7.23,"2",11.5102278203724
2013-02-17,7.33,"17","7","winter",0.33,0.84,7.26,"2",12.0296353172754
2013-02-12,-0.19,"17","2","winter",0.86,0.76,7.32,"2",12.9407751655361
2012-02-29,12.74,"17","3","winter",0.54,0.85,7.77,"2",11.5166678478055
2012-02-13,3.42,"17","1","winter",0.65,0.9,7.79,"2",14.3054505665254
2012-02-10,-0.54,"17","5","winter",0.47,0.81,8.38,"2",14.6072097652299
2012-02-04,-2.32,"16","6","winter",0.58,0.8,8.64,"2",15.1541356386435
2012-02-28,13.86,"17","2","winter",0.66,0.86,8.71,"2",11.5684468601449
2012-02-07,1.92,"17","2","winter",0.58,0.75,8.92,"2",13.8827661226387
2013-02-27,2.67,"17","3","winter",0.69,0.83,8.92,"2",12.0587594795017
2013-02-20,3.78,"17","3","winter",0.68,0.78,8.93,"2",11.7278959034211
2012-02-09,1.79,"17","4","winter",0.75,0.81,9.75,"2",14.4024537434655
2013-02-25,0.59,"17","1","winter",0.84,0.83,9.78,"2",13.0590554935714
2014-02-19,10.13,"17","3","winter",0.64,0.87,9.95,"2",10.6746236023562
2014-02-17,10.67,"17","1","winter",0.56,0.83,10.32,"2",10.9795659881978
2013-02-09,2.1,"17","6","winter",0.7,0.86,10.38,"2",12.8583726062739
2014-02-06,7.34,"16","4","winter",0.67,0.82,10.53,"2",11.4454033323617
2013-02-08,2.73,"17","5","winter",0.41,0.78,10.54,"2",12.1127377334306
2013-02-14,10.59,"17","4","winter",0.55,0.81,10.56,"2",11.9807755056945
2014-02-20,12.5,"17","4","winter",0.61,0.84,10.61,"2",10.5738353968038
2014-02-07,8.44,"17","5","winter",0.63,0.79,10.85,"2",10.972318254623
2014-02-05,5.86,"16","3","winter",0.73,0.77,10.91,"2",11.4151045424321
2012-02-27,11.15,"17","1","winter",0.67,0.85,11.09,"2",12.196422460928
2014-02-14,12.02,"17","5","winter",0.67,0.81,11.17,"2",11.8169143320215
2014-02-08,5.67,"17","6","winter",0.47,0.77,11.2,"2",11.5693004562016
2012-02-01,-1.86,"16","3","winter",0.36,0.67,11.41,"2",13.8149644032203
2014-02-18,10.13,"17","2","winter",0.57,0.87,11.49,"2",10.7818979815532
2014-02-01,6.86,"16","6","winter",0.19,0.76,11.6,"2",11.7105819325163
2013-02-23,-1.89,"17","6","winter",0.83,0.68,11.64,"2",13.245570067375
2014-02-12,4.73,"17","3","winter",0.59,0.75,11.8,"2",11.679099381932
2014-02-10,7.07,"17","1","winter",0.55,0.84,11.81,"2",11.2641751736048
2014-02-27,10.31,"17","4","winter",0.32,0.74,12.04,"2",10.3563498993587
2014-02-04,5.63,"16","2","winter",0.42,0.75,12.05,"2",11.0955844370224
2012-02-22,10.47,"17","3","winter",0.78,0.84,12.07,"2",12.8836076937179
2014-02-25,11.43,"17","2","winter",0.62,0.78,12.09,"2",10.2949965968769
2012-02-17,11.83,"17","5","winter",0.59,0.84,12.1,"2",12.4417173919837
2012-02-24,14.43,"17","5","winter",0.6,0.83,12.21,"2",11.5331957622195
2014-02-23,11.94,"17","7","winter",0.66,0.76,12.33,"2",11.4804107632653
2012-02-26,12.67,"17","7","winter",0.28,0.74,12.36,"2",12.4442211160248
2014-02-15,5.79,"17","6","winter",0.35,0.69,12.38,"2",11.4904696152022
2012-02-23,16.98,"17","4","winter",0.5,0.84,12.38,"2",11.6221289532238
2014-02-11,4.06,"17","2","winter",0.41,0.76,12.39,"2",11.4526493140274
2013-02-07,2.42,"17","4","winter",0.39,0.71,12.49,"2",12.2380164108497
2014-02-03,4.59,"16","1","winter",0.47,0.79,12.5,"2",11.2800114828351
2013-02-01,5.33,"16","5","winter",0.49,0.85,12.5,"2",11.5806355520328
2012-02-08,-3.19,"17","3","winter",0.89,0.78,12.55,"2",15.1970534126113
2013-02-28,4.09,"17","4","winter",0.64,0.8,12.67,"2",11.9905610054208
2014-02-09,3.91,"17","7","winter",0.52,0.66,12.71,"2",12.202967430864
2012-02-14,5.84,"17","2","winter",0.57,0.76,12.73,"2",13.6531570791024
2014-02-16,7.88,"17","7","winter",0.13,0.76,12.78,"2",11.5821590267637
2012-02-25,12.11,"17","6","winter",0.51,0.67,12.83,"2",11.8060770159006
2013-02-05,2.38,"16","2","winter",0.48,0.73,12.84,"2",12.0102716505743
2012-02-03,-1.67,"16","5","winter",0.36,0.67,12.89,"2",14.5212743186603
2014-02-02,6.48,"16","7","winter",0.22,0.72,12.89,"2",12.0781643556832
2012-02-20,5.37,"17","1","winter",0.33,0.7,12.92,"2",13.3062665818302
2012-02-18,10.76,"17","6","winter",0.53,0.79,12.92,"2",12.9546422796748
2013-02-16,10.13,"17","6","winter",0.48,0.7,12.97,"2",11.5626674574922
2013-02-04,10.2,"16","1","winter",0.5,0.71,13,"2",11.6230153159526
2013-02-24,-2.08,"17","7","winter",0.86,0.71,13,"2",14.0142816025467
2014-02-26,11.29,"17","3","winter",0.26,0.73,13,"2",10.2029453223713
2014-02-24,14.23,"17","1","winter",0.5,0.74,13,"2",10.4114030845214
2013-02-22,-3.32,"17","5","winter",0.81,0.63,13.04,"2",12.8562318234756
2014-02-13,3.42,"17","4","winter",0.36,0.68,13.04,"2",11.2857367269835
2013-02-15,7.75,"17","5","winter",0.41,0.77,13.04,"2",11.552171169635
2012-02-02,-3.78,"16","4","winter",0.29,0.59,13.05,"2",14.3687993373355
2014-02-22,11.63,"17","6","winter",0.25,0.71,13.07,"2",10.7762421096284
2012-02-19,3.63,"17","7","winter",0.17,0.64,13.1,"2",13.7550365852304
2013-02-03,6.66,"16","7","winter",0.55,0.82,13.12,"2",13.305082923018
2012-02-15,10.61,"17","3","winter",0.59,0.73,13.13,"2",13.0541475835862
2013-02-06,2.56,"16","3","winter",0.61,0.75,13.23,"2",12.2536409541758
2013-02-21,-2.51,"17","4","winter",0.8,0.59,13.24,"2",12.5534853697696
2012-02-16,10.61,"17","4","winter",0.51,0.74,13.26,"2",12.5933233270123
2014-02-21,10.15,"17","5","winter",0.22,0.72,13.31,"2",10.5181264982014
2012-02-21,11.65,"17","2","winter",0.66,0.76,13.37,"2",12.6396915062745
2013-02-02,1.9,"16","6","winter",0.43,0.71,13.42,"2",12.359468647922
2013-03-08,9.04,"17","5","winter",0.83,0.96,1.93,"3",10.9301702281503
2013-03-07,7.99,"17","4","winter",0.68,0.93,2.78,"3",10.8894692678138
2012-03-02,8.23,"17","5","winter",0.66,0.91,2.9,"3",11.8473117035921
2012-03-15,16.79,"18","4","winter",0.32,0.82,3.2,"3",10.9699323366169
2013-03-23,-2.27,"18","6","spring",0.85,0.92,3.73,"3",13.4292708131623
2012-03-12,13.86,"18","1","winter",0.41,0.87,4.76,"3",10.9877274663839
2012-03-23,19.48,"18","5","spring",0.07,0.74,5.05,"3",10.1237569813717
2013-03-09,7.53,"17","6","winter",0.84,0.9,5.68,"3",11.5598780610794
2013-03-20,3.49,"18","3","winter",0.78,0.86,5.73,"3",11.6632140210701
2012-03-01,15.11,"17","4","winter",0.11,0.8,6.08,"3",11.2190129100939
2012-03-13,10.89,"18","2","winter",0.79,0.86,6.08,"3",10.9968856568607
2013-03-22,0.07,"18","5","spring",0.69,0.79,6.1,"3",12.0711726924908
2012-03-24,18.83,"18","6","spring",0.08,0.74,6.12,"3",10.2277729189235
2012-03-14,12.41,"18","3","winter",0.54,0.8,6.61,"3",10.9925132638776
2012-03-22,15.81,"18","4","spring",0.1,0.72,6.63,"3",10.2048129331294
2013-03-04,6.17,"17","1","winter",0.27,0.78,7.02,"3",11.4818590866446
2012-03-03,14.29,"17","6","winter",0.55,0.82,7.44,"3",12.2079225427746
2012-03-29,17.12,"18","4","spring",0.16,0.71,7.5,"3",9.34187804902439
2013-03-18,7.06,"18","1","winter",0.5,0.91,7.97,"3",11.8165725891348
2013-03-05,16.06,"17","2","winter",0.12,0.74,8.11,"3",10.8604805896228
2012-03-25,18.18,"18","7","spring",0.15,0.71,8.16,"3",10.6978578656854
2013-03-19,5.81,"18","2","winter",0.59,0.83,8.32,"3",11.3876267050719
2013-03-06,13.14,"17","3","winter",0.17,0.72,8.37,"3",10.6752483423473
2012-03-25,13.79,"18","7","spring",0.39,0.78,9,"3",10.6978578656854
2012-03-17,10.75,"18","6","winter",0.52,0.87,9.3,"3",11.8322221155769
2013-03-24,-2.86,"18","7","spring",0.83,0.78,9.37,"3",14.1915913964734
2012-03-16,7.32,"18","5","winter",0.89,0.76,9.4,"3",11.3096224577928
2013-03-03,5.04,"17","7","winter",0.58,0.8,10.12,"3",12.7359069840441
2013-03-01,3.28,"17","5","winter",0.83,0.78,10.27,"3",12.0484988962316
2012-03-04,7.01,"17","7","winter",0.65,0.9,10.36,"3",13.4635063580347
2013-03-14,5.17,"18","4","winter",0.27,0.67,10.54,"3",11.7860816737648
2012-03-11,15.55,"17","7","winter",0.38,0.81,10.59,"3",12.0489600033514
2013-03-21,2.57,"18","4","winter",0.61,0.75,10.8,"3",11.5047561338867
2013-03-11,-4.11,"17","1","winter",0.6,0.73,10.83,"3",13.1067729697477
2012-03-28,19.16,"18","3","spring",0.19,0.61,10.85,"3",9.53081514918567
2012-03-10,15.39,"17","6","winter",0.53,0.81,11.17,"3",11.9250324358919
2012-03-30,11.09,"18","5","spring",0.61,0.71,11.22,"3",9.34331788707317
2012-03-19,13.27,"18","1","winter",0.17,0.68,11.46,"3",11.0559449086835
2013-03-17,5.13,"18","7","winter",0.64,0.88,11.52,"3",12.5777825527296
2012-03-18,8.03,"18","7","winter",0.38,0.82,11.57,"3",12.1554413464423
2012-03-26,18.26,"18","1","spring",0.14,0.53,11.64,"3",9.98495594530341
2013-03-28,0.31,"18","4","spring",0.5,0.66,11.64,"3",12.0509543181247
2012-03-07,10.75,"17","3","winter",0.46,0.78,11.8,"3",12.757729392539
2013-03-16,3.91,"18","6","winter",0.69,0.85,12.13,"3",12.186486909458
2013-03-10,0.33,"17","7","winter",0.81,0.82,12.26,"3",12.8230727297735
2013-03-12,-0.56,"18","2","winter",0.54,0.63,12.34,"3",12.8522952649291
2013-03-15,4.56,"18","5","winter",0.65,0.81,12.36,"3",11.5908591707097
2012-03-06,7.22,"17","2","winter",0.55,0.78,12.55,"3",13.0291936920045
2012-03-21,15.62,"18","3","spring",0.47,0.67,12.6,"3",10.3803018700801
2012-03-27,21.14,"18","2","spring",0.1,0.49,12.62,"3",9.56769350731306
2013-03-31,1.64,"18","7","spring",0.4,0.68,12.67,"3",11.9327208888355
2013-03-31,1.29,"18","7","spring",0.57,0.64,12.68,"3",11.9327208888355
2013-03-25,-2.89,"18","1","spring",0.68,0.65,12.76,"3",13.1182948122023
2013-03-26,-2.29,"18","2","spring",0.69,0.65,12.81,"3",12.9165594512001
2012-03-31,12.88,"18","6","spring",0.25,0.61,12.83,"3",10.4233533220421
2013-03-27,-0.19,"18","3","spring",0.48,0.64,12.86,"3",12.4960441531868
2012-03-08,12.03,"17","4","winter",0.29,0.68,12.96,"3",12.0449306114537
2012-03-09,10.86,"17","5","winter",0.64,0.78,13.02,"3",12.1569891098039
2013-03-13,3.01,"18","3","winter",0.37,0.73,13.04,"3",12.119938075341
2012-03-20,14.48,"18","2","winter",0.34,0.72,13.05,"3",10.7309130871912
2013-03-02,3.13,"17","6","winter",0.66,0.72,13.05,"3",12.3088508924986
2012-03-05,5.56,"17","1","winter",0.48,0.64,13.07,"3",12.7162520024055
2013-03-30,1.53,"18","6","spring",0.66,0.69,13.1,"3",11.7919036962847
2013-03-29,1.71,"18","5","spring",0.59,0.63,13.45,"3",12.2315757362123
2013-04-09,10.59,"18","2","spring",0.61,0.79,4.44,"4",10.9003879231753
2013-04-10,11.3,"18","3","spring",0.69,0.9,6.07,"4",10.3913719418458
2013-04-08,6.01,"18","1","spring",0.7,0.83,6.66,"4",10.5934204491202
2012-04-12,12.02,"18","4","spring",0.45,0.77,8.8,"4",10.1153617465696
2012-04-27,10.03,"19","5","spring",0.74,0.92,9.06,"4",9.65954658007929
2012-04-30,17.24,"19","1","spring",0.61,0.84,9.29,"4",9.33754997640929
2012-04-04,6.47,"18","3","spring",0.7,0.76,9.64,"4",10.2503971160213
2013-04-24,22.08,"19","3","spring",0.27,0.72,10.17,"4",8.50609896036019
2012-04-28,14.89,"19","6","spring",0.7,0.86,10.28,"4",10.7189218314159
2012-04-13,11.62,"18","5","spring",0.47,0.72,10.62,"4",10.0172454382691
2012-04-18,8.05,"19","3","spring",0.67,0.91,10.7,"4",10.7933208024257
2013-04-03,-1.57,"18","3","spring",0.55,0.74,10.8,"4",11.9232258596374
2013-04-16,17.95,"19","2","spring",0.54,0.77,10.8,"4",9.22987664514932
2013-04-07,7.18,"18","7","spring",0.36,0.65,10.81,"4",11.1582951846481
2012-04-07,13.08,"18","6","spring",0.72,0.81,10.83,"4",10.3130231164802
2013-04-12,11.42,"18","5","spring",0.57,0.87,11.06,"4",10.3722930491566
2012-04-02,12.92,"18","1","spring",0.31,0.75,11.12,"4",9.92628863990536
2012-04-08,10.81,"18","7","spring",0.72,0.89,11.15,"4",10.6163328348507
2012-04-24,11.94,"19","2","spring",0.57,0.88,11.22,"4",10.0326027908213
2012-04-03,10.18,"18","2","spring",0.49,0.75,11.47,"4",10.1647025569326
2012-04-19,12.46,"19","4","spring",0.37,0.83,11.52,"4",10.6927654697702
2013-04-11,11.51,"18","4","spring",0.54,0.87,11.62,"4",10.5597506942169
2012-04-06,10.48,"18","5","spring",0.72,0.75,11.64,"4",10.5564769046945
2012-04-22,7.28,"19","7","spring",0.63,0.86,11.68,"4",10.6759580239365
2012-04-23,12.48,"19","1","spring",0.57,0.76,11.75,"4",10.2332989513514
2013-04-06,10.37,"18","6","spring",0.4,0.62,11.84,"4",11.0971770039067
2012-04-17,10.01,"19","2","spring",0.6,0.87,11.86,"4",10.6174434014384
2013-04-23,19.35,"19","2","spring",0.33,0.74,11.96,"4",8.66526337323551
2012-04-11,12.13,"18","3","spring",0.32,0.77,12.02,"4",10.0639800401996
2013-04-21,14.32,"19","7","spring",0.66,0.74,12.04,"4",9.99667631842984
2013-04-19,13.14,"19","5","spring",0.16,0.66,12.07,"4",9.44901226100687
2013-04-25,13.28,"19","4","spring",0.51,0.65,12.12,"4",8.28206681505197
2013-04-13,19.88,"18","6","spring",0.45,0.7,12.36,"4",10.531617352132
2012-04-01,15.04,"18","7","spring",0.24,0.63,12.46,"4",10.7465230768421
2013-04-27,11.59,"19","6","spring",0.27,0.64,12.49,"4",9.52584724036424
2013-04-22,20.25,"19","1","spring",0.46,0.68,12.5,"4",9.41152330447539
